Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-27,NZXT Kraken Elite 420 RGB V2 420mm AIO  Liquid Cooler w/ Display and RGB Core Fan - Black,,1299.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-kraken-elite-420-rgb-v2-420mm-aio-liquid-cooler-w-display-and-rgb-core-fan-black.html
2025-05-27,NZXT H9 Flow RGB (2025) Dual-Chamber Mid Tower Case w/ RGB Fans - All White,,735.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h9-flow-rgb-2025-dual-chamber-mid-tower-case-w-rgb-fans-all-white.html
2025-05-27,NZXT H9 Flow (2025) Dual-Chamber Mid-Tower  Case - All Black,,599.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/nzxt-h9-flow-2025-dual-chamber-mid-tower-case-all-black.html
2025-05-27,Fractal Era 2 SFF Melding Design ITX Case - Blue | FD-C-ERA2N-03,,1470.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/fractal-era-2-sff-melding-design-itx-case-blue-fd-c-era2n-03.html
2025-05-27,Montech Heritage Pro TG Micro-ATX Case - White/Leather | HERITAGE-PRO-(W),,499.0,599.00,-17%,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-heritage-pro-tg-micro-atx-case-white-leather-heritage-pro-w.html
2025-05-27,Montech Heritage Pro TG Micro-ATX Case - Black/Leather | HERITAGE-PRO-(B),,499.0,599.00,-17%,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-heritage-pro-tg-micro-atx-case-black-leather-heritage-pro-b.html
2025-05-27,Montech SKY TWO GX Mid-Tower TG ARGB E-ATX Case - Black | SKY-TWO-GX-B,,399.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/montech-sky-two-gx-mid-tower-tg-argb-e-atx-case-black-sky-two-gx-b.html
2025-05-27,ASUS ProArt PA602 Wood Edition Black Mid-Tower ATX Case - Black | 90DC00J0-B09020,,945.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/asus-proart-pa602-wood-edition-black-mid-tower-atx-case-black-90dc00j0-b09020.html
2025-05-27,ASUS ProArt PA602 Wood Edition Mid-Tower TG E-ATX Case - Black | 90DC00J0-B09010,,945.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/asus-proart-pa602-wood-edition-mid-tower-tg-e-atx-case-black-90dc00j0-b09010.html
2025-05-27,Xigmatek Vision Arctic ARGB Mid-Tower E-ATX Gaming Case - White | EN45219,,630.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-vision-arctic-argb-mid-tower-e-atx-gaming-case-white-en45219.html
2025-05-27,Xigmatek Vision ARGB Mid-Tower E-ATX Gaming Case - Black | EN45196,,599.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/xigmatek-vision-argb-mid-tower-e-atx-gaming-case-black-en45196.html
2025-05-27,Lian Li O11 Vision Compact Dual-Chamber Mid-Tower Triple Tempered Glass ATX Case - White | 011VPW,,499.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-o11-vision-compact-dual-chamber-mid-tower-triple-tempered-glass-atx-case-white-011vpw.html
2025-05-27,Lian Li O11 Vision Compact Dual-Chamber Mid-Tower Triple Tempered Glass ATX Case - Black | O11VPX,,499.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-o11-vision-compact-dual-chamber-mid-tower-triple-tempered-glass-atx-case-black-o11vpx-black.html
2025-05-27,"SilverStone RM43-320-RS 4U 20-Bay 2.5"" 3.5"" HDD / SSD Rackmount Server E-ATX Case | SST-RM43-320-RS",,2500.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/silverstone-rm43-320-rs-4u-20-bay-2-5-3-5-hdd-ssd-rackmount-server-e-atx-case-sst-rm43-320-rs.html
