Product Name,Price (AED),SKU,Product URL
"AMD Ryzen 5 9600X AM5 CPU Processor, 6 Cores & 12 Threads, 5.4 GHz Max Boost Clock, 6MB L2 & 32MB L3 Cache, AMD Radeon Graphics, Zen 5, PCIe 5.0 x16 | 100-100001405WOF","1,200.00","LFCAMD Ryzen 5 9600X AM5 CPU Processor, 6 Cores & 12 Threads, 5.4 GHz",https://laifai.ae/product/amd-ryzen-5-9600x-am5-cpu-processor-6-cores-12-threads-5-4-ghz-max-boost-clock-6mb-l2-32mb-l3-cache-amd-radeon-graphics-zen-5-pcie-5-0-x16-100-100001405wof/
"AMD Ryzen 7 7800X3D AM5 Desktop Processor with AMD Radeon Graphics, 8 Cores & 16 Threads, 5 GHz Max Boost Clock, 8MB L2 & 96MB L3 Cache, DDR5 Memory & 128GB Max Capacity | 100-100000910WOF","2,400.00",LFCAMD Ryzen™ 7 7800X3D processor featuring AMD 3D,https://laifai.ae/product/amd-ryzen-7-7800x3d-am5-desktop-processor-with-amd-radeon-graphics-8-cores-16-threads-5-ghz-max-boost-clock-8mb-l2-96mb-l3-cache-ddr5-memory-128gb-max-capacity-100-100000910wof/
"AMD Ryzen 7 9700X AM5 CPU Processor, 8 Cores & 16 Threads, 5.5 GHz Max Boost Clock, 8MB L2 & 32MB L3 Cache, AMD Radeon Graphics, DDR5-5600 ECC, Zen 5 Architecture, PCIe 5.0 x16 | 100-100001404WOF","1,575.00","LFCAMD Ryzen 7 9700X AM5 CPU Processor, 8 Cores & 16 Threads, 5.5 GHz",https://laifai.ae/product/amd-ryzen-7-9700x-am5-cpu-processor-8-cores-16-threads-5-5-ghz-max-boost-clock-8mb-l2-32mb-l3-cache-amd-radeon-graphics-ddr5-5600-ecc-zen-5-architecture-pcie-5-0-x16-100-100001404wof/
"AMD Ryzen 9 9900X AM5 CPU Processor, 12 Cores & 24 Threads, 5.6 GHz Max Boost Clock, 12MB L2 & 64MB L3 Cache, AMD Radeon Graphics, PCIe 5.0 x16 | 100-100000662WOF","1,865.00","LFCAMD Ryzen 9 9900X AM5 CPU Processor, 12 Cores & 24 Threads, 5.6 GHz",https://laifai.ae/product/amd-ryzen-9-9900x-am5-cpu-processor-12-cores-24-threads-5-6-ghz-max-boost-clock-12mb-l2-64mb-l3-cache-amd-radeon-graphics-pcie-5-0-x16-100-100000662wof/
INTEL CORE CPU ULTRA 7 265K,"1,850.95",n/a,https://laifai.ae/product/intel-core-cpu-ultra-7-265k/
Intel Core i5-14400F 2.5 GHz 10-Core LGA 1700 14th Gen,"1,300.00",LFCIntelCorei5-14400F00078600346,https://laifai.ae/product/intel-cpu-i5-14400f/
"Intel Core i5-14600K 3.5 GHz 14-Core LGA 1700 14th Gen Processor, 14 Cores & 20 Threads, 24MB Cache Memory, 5.3GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514600KSRN43","1,300.00",LFCIntelCore i514600K3.5GHz14CoreLGA1700,https://laifai.ae/product/intel-core-i5-14600k-3-5-ghz-14-core-lga-1700-14th-gen-processor-14-cores-20-threads-24mb-cache-memory-5-3ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514600ksrn43/
"Intel Core i7-14700K 3.4 GHz 20-Core LGA 1700 14th Gen Processor, 20 Cores & 28 Threads, 30MB Cache Memory, 5.6GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514700KSRN3X","1,500.00",LFCI714700K14G,https://laifai.ae/product/intel-core-i7-14700k-3-4-ghz-20-core-lga-1700-14th-gen-processor-20-cores-28-threads-30mb-cache-memory-5-6ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514700ksrn3x/
"Intel Core i9-14900K 3.2 GHz 24-Core LGA 1700 14th Gen Processor, 24 Cores & 32 Threads, 36MB Cache Memory, 6GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514900KSRN48","1,890.00",LFCINTELCOREI914900K,https://laifai.ae/product/intel-core-i9-14900k-3-2-ghz-24-core-lga-1700-14th-gen-processor-24-cores-32-threads-36mb-cache-memory-6ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514900ksrn48/
Ryzen 5 7600X,870.10,n/a,https://laifai.ae/product/ryzen-5-7600x/
