Date,Product Name,Base Price (AED),Final Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-20,ASUS BUNDLES 1,13000.00,13000.00,,In stock,,https://laifai.ae/product/asus-bundles-1/
2025-05-20,"Asus ROG Astral GeForce RTX 5090 32GB GDDR7 Dhahab OC Edition Graphics Card, DLSS 4",40000.00,40000.00,,In stock,,https://laifai.ae/product/asus-rog-astral-geforce-rtx-5090-32gb-gddr7-dhahab-oc-edition-graphics-card/
2025-05-20,ASUS ROG RTX 5080 ASTRAL 16GB OC,8359.00,8359.00,,In stock,,https://laifai.ae/product/asus-rog-rtx-5080-astral-16gb-oc/
2025-05-20,ASUS ROG STRIX RTX 4070TI 12GB GDDR6X 90YV0II1-M0NA00,4323.00,4323.00,,In stock,,https://laifai.ae/product/asus-rog-strix-rtx-4070ti-12gb-gddr6x-90yv0ii1-m0na00/
2025-05-20,ASUS TUF RTX 5080 GAMING OC 16GB,7500.00,7500.00,,In stock,,https://laifai.ae/product/asus-tuf-rtx-5080-gaming-oc-16gb/
2025-05-20,ASUS VGA CARD ROG STRIX RTX 4070TI OC 12GB,4990.00,4990.00,,In stock,,https://laifai.ae/product/asus-vga-card-rog-strix-rtx-4070ti-oc-12gb/
2025-05-20,ASUS VGA CARD ROG STRIX RTX 4090 24GB,13800.00,13800.00,,In stock,,https://laifai.ae/product/asus-vga-card-rog-strix-rtx-4090-24gb/
2025-05-20,ASUS VGA CARD RTX 4080 SUPER NOCTUA OC 12GB,5639.00,5639.00,,In stock,,https://laifai.ae/product/asus-vga-card-rtx-4080-super-noctua-oc-12gb/
2025-05-20,ASUS VGA CARD RTX 5090 TUF GAMING OC 32GB,18500.00,18500.00,,In stock,,https://laifai.ae/product/asus-vga-card-rtx-5090-tuf-gaming-oc-32gb/
2025-05-20,DUCK GAMING PC AD 1(MSI VGA CARD RTX 4070 SUPER VENTUS 2X),2515.00,2515.00,,In stock,,https://laifai.ae/product/duck-gaming-pc-ad-1msi-vga-card-rtx-4070-super-ventus-2x/
2025-05-20,GIGABYTE VGA CARD 4060TI GAMING OC 16GB,2140.00,2140.00,,In stock,,https://laifai.ae/product/gigabyte-vga-card-4060ti-gaming-oc-16gb/
2025-05-20,HYTE Y60 BLACK PRIME GAMING PC A18 INTEL i9 14TH WITH RTX4070 12GB,11400.00,11400.00,,In stock,,https://laifai.ae/product/nzxt-prime-gaming-pc-a18-intel-i9-14th-with-rtx4070-12gb/
2025-05-20,"MSI GeForce RTX 4090 SUPRIM X Graphics Card, 24GB GDDR6X 384-Bit Memory, 16384 CUDA Cores, 2640 MHz Boost Clock, 21 Gbps Memory Speed, PCI Express Gen 4, DPx 3, HDMIx 1, 4.6 OPENGL | 912-V510-215",8850.00,8850.00,,In stock,,https://laifai.ae/product/msi-geforce-rtx-4090-suprim-x-graphics-card-24gb-gddr6x-384-bit-memory-16384-cuda-cores-2640-mhz-boost-clock-21-gbps-memory-speed-pci-express-gen-4-dpx-3-hdmix-1-4-6-opengl-912-v510-215/
2025-05-20,"MSI VGA CARD RTX 4070 SUPER VENTUS 2X OC, 12GB GDDR6X|912-V513-641",2730.00,2730.00,,In stock,,https://laifai.ae/product/msi-vga-card-rtx-4070-super-ventus-2x-oc-12gb-gddr6x912-v513-641/
2025-05-20,"Palit GeForce RTX 4060 Infinity 2 8G GDDR6X Graphics Card, DLSS 3",1150.00,1150.00,,In stock,,https://laifai.ae/product/palit-geforce-rtx-4060-infinity-2-8g-gddr6x-graphics-card-dlss-3/
2025-05-20,PALIT VGA CARD 4070TI SUPER GAMEROCK OMNIBLACK 16GB|NED47TS019T2-1020Q,3400.00,3400.00,,In stock,,https://laifai.ae/product/palit-vga-card-4070ti-super-gamerock-omniblack-16gbned47ts019t2-1020q/
2025-05-20,PALIT VGA CARD RTX 4060TI DUAL 8GB,1750.00,1750.00,,In stock,,https://laifai.ae/product/palit-vga-card-rtx-4060ti-dual-8gb/
2025-05-20,PALIT VGA CARD RTX 4060TI DUAL OC  8GB,1830.00,1830.00,,In stock,,https://laifai.ae/product/palit-vga-card-rtx-4060ti-dual-oc-8gb/
2025-05-20,PALIT VGA CARD RTX 4070 DUAL 12GB GDDR6X NED4070019K9-1047D,2550.00,2550.00,,In stock,,https://laifai.ae/product/palit-vga-card-rtx-4070-dual-12gb-gddr6x-ned4070019k9-1047d/
2025-05-20,PALIT VGA CARD RTX 4070TI 12GB JETSTREAM,3350.00,3350.00,,In stock,,https://laifai.ae/product/palit-vga-card-rtx-4070ti-12gb-jetstream/
2025-05-20,PALIT VGA CARD RTX 4090 GAMEROCK 24GB,6100.00,6100.00,,In stock,,https://laifai.ae/product/palit-vga-card-rtx-4090-gamerock-24gb/
2025-05-20,ZOTAC GAMING GeForce RTX 4060 8GB Twin Edge OC White,1400.00,1400.00,,In stock,,https://laifai.ae/product/zotac-gaming-geforce-rtx-4060-8gb-twin-edge-oc-white/
2025-05-20,"ZOTAC GAMING RTX 4070 Ti Trinity Graphics Card, 12GB GDDR6X 192-bit Memory, 7680 CUDA Cores, 2610 MHz Boost Clock, 21 Gbps Memory Clock, PCI E 4.0 x16, 3 x DP 1.4a,1 x HDMI | ZT-D40710D-10P",3450.00,3450.00,,In stock,,https://laifai.ae/product/zotac-gaming-geforce-rtx-4070-ti-trinity-graphics-card-12gb-gddr6x-192-bit-memory-7680-cuda-cores-2610-mhz-boost-clock-21-gbps-memory-clock-pci-e-4-0-x16-3-x-dp-1-4a1-x-hdmi-zt-d40710d-10p/
2025-05-20,"ZOTAC RTX 3060Ti AMP White Edition LHR 8GB GDDR6 Graphics Card, 256bit, 1750MHz, PCIe 4.0 x16, HDMI, 3x DP | ZT-A30610F-10PLHR",1890.00,1890.00,,In stock,,https://laifai.ae/product/zotac-rtx-3060ti-amp-white-edition-lhr-8gb-gddr6-graphics-card-256bit-1750mhz-pcie-4-0-x16-hdmi-3x-dp-zt-a30610f-10plhr/
2025-05-20,ZOTAC RTX4060 8GB SPIDERMAN EDITION ZT D40600P 10SMP,1390.00,1390.00,,In stock,,https://laifai.ae/product/zotac-rtx4060-8gb-spiderman-edition-zt-d40600p-10smp/
2025-05-20,ZOTAC RTX4060TI 16GB SPIDERMAN EDITION,2150.00,2150.00,,In stock,,https://laifai.ae/product/zotac-rtx4060ti-16gb-spiderman-edition/
