Date,Product Name,Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-18,"AMD Ryzen 7 9800X3D AM5 Desktop Processor, 8 Cores & 16 Threads, Up to 5.2 GHz Max Boost Clock, Integrated AMD Radeon Graphics, 192GB Max Memory, Dual Channel, 96MB L3 Cache | 100-100001084WOF",1999.00,13% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-7-9800x3d-am5-desktop-processor-8-cores-16-threads-up-to-5-2-ghz-max-boost-clock-integrated-amd-radeon-graphics-192gb-max-memory-dual-channel-96mb-l3-cache-100-100001084wof/
2025-05-18,"AMD Ryzen 7 7800X3D AM5 Desktop Processor with AMD Radeon Graphics, 8 Cores & 16 Threads, 5 GHz Max Boost Clock, 8MB L2 & 96MB L3 Cache, DDR5 Memory & 128GB Max Capacity | 100-100000910WOF",1548.75,22% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-7-7800x3d-am5-desktop-processor-with-amd-radeon-graphics-8-cores-16-threads-5-ghz-max-boost-clock-8mb-l2-96mb-l3-cache-ddr5-memory-128gb-max-capacity-100-100000910wof/
2025-05-18,"AMD Ryzen 9 9950X AM5 CPU Processor, 16 Cores & 32 Threads, 64MB L3 Cache, Up to 5.7 GHz Max Boost Clock, DDR5 Memory Type, Zen 5 Architecture, AMD Radeon Graphics | 100001277WOF",2310.00,19% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-9-9950x-am5-cpu-processor-16-cores-32-threads-64mb-l3-cache-up-to-5-7-ghz-max-boost-clock-ddr5-memory-type-zen-5-architecture-amd-radeon-graphics-100001277wof/
2025-05-18,"AMD Ryzen 7 5700X3D 3GHz AM4 Desktop Processor, 8 Cores & 16 Threads, 4.1 GHz Max Boost Clock, 4MB L2 & 96MB L3 Cache, PCIe 4.0, DDR4-3200 Memory, Zen 3 Architecture | 100-100001503WOF",868.55,19% OFF,,,https://uae.microless.com/product/amd-ryzen-7-5700x3d-3ghz-am4-desktop-processor-8-cores-16-threads-4-1-ghz-max-boost-clock-4mb-l2-100mb-l3-cache-pcie-4-0-ddr4-3200-memory-zen-3-architecture-100-100001503wof/
2025-05-18,"Intel Core i5-14400F 2.5 GHz 10-Core LGA 1700 Processor, 10 Cores & 16 Threads, 20MB Cache, 5 GHz Maximum Turbo Boost, Dual-Channel DDR5-4800 Memory / 192GB Max, Hybrid Core Arc, Tray | 14400F-Tray",483.00,29% OFF,,,https://uae.microless.com/product/intel-core-i5-14400f-2-5-ghz-10-core-lga-1700-processor-10-cores-16-threads-20mb-cache-5-ghz-maximum-turbo-boost-dual-channel-ddr5-4800-memory-192gb-max-hybrid-core-arc-tray-14400f-tray/
2025-05-18,"AMD Ryzen 9 9900X AM5 CPU Processor, 12 Cores & 24 Threads, 5.6 GHz Max Boost Clock, 12MB L2 & 64MB L3 Cache, AMD Radeon Graphics, PCIe 5.0 x16 | 100-100000662WOF",1648.50,16% OFF,In Stock,9,https://uae.microless.com/product/amd-ryzen-9-9900x-am5-cpu-processor-12-cores-24-threads-5-6-ghz-max-boost-clock-12mb-l2-64mb-l3-cache-amd-radeon-graphics-pcie-5-0-x16-100-100000662wof/
2025-05-18,"Intel Core i7-14700KF 3.4 GHz 20-Core LGA 1700 14th Gen Processor, 20 Cores & 28 Threads, 30MB Cache Memory, 5.6GHz MaxTurbo Boost, Dual-Channel DDR5-5600 / 192GB Max Memory | CM8071504820722-Tray",1260.00,25% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700kf-3-4-ghz-20-core-lga-1700-14th-gen-processor-20-cores-28-threads-30mb-cache-memory-5-6ghz-maxturbo-boost-dual-channel-ddr5-5600-192gb-max-memory-cm8071504820722-tray/
2025-05-18,"Intel Core i9-14900K 3.2 GHz 24-Core LGA 1700 14th Gen Processor, 24 Cores & 32 Threads, 36MB Cache Memory, 6GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514900KSRN48",1890.00,30% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900k-3-2-ghz-24-core-lga-1700-14th-gen-processor-24-cores-32-threads-36mb-cache-memory-6ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514900ksrn48/
2025-05-18,"Intel Core i7-12700K LGA 1700 12th Gen Processor, Dual-Channel DDR5-4800 Memory, 3.6 GHz P-Core Clock Speed, 25MB Cache Memory, Unlocked for Overclocking, Tray | i7-12700K",945.00,26% OFF,,,https://uae.microless.com/product/intel-core-i7-12700k-lga-1700-12th-gen-processor-dual-channel-ddr5-4800-memory-3-6-ghz-p-core-clock-speed-25mb-cache-memory-unlocked-for-overclocking-tray-i7-12700k/
2025-05-18,"AMD Ryzen 5 7600X 4.7 GHz AM5 105W Desktop Processor, 6 Cores & 12 Threads, 5.3 Ghz Max Boost Clock, 32MB L3 Cache, AMD Radeon Graphics, 2CH-DDR5-5200 / 128GB Max, Zen 4 Arc | 100-100000593WOF",735.00,35% OFF,,,https://uae.microless.com/product/amd-ryzen-5-7600x-4-7-ghz-am5-105w-desktop-processor-6-cores-12-threads-5-3-ghz-max-boost-clock-32mb-l3-cache-amd-radeon-graphics-2ch-ddr5-5200-128gb-max-zen-4-arc-100-100000593wof/
2025-05-18,"Intel Core Ultra 9 285K 3.7 GHz LGA 1851 Processor, Intel Graphics, 24-Cores & 24-Threads, 40 MB Cache, 5.7 GHz Max Turbo Frequency, Dual Channel DDR5 Memory, 192GB Max Memory Size | BX80768285K",2449.00,22% OFF,In Stock,10,https://uae.microless.com/product/intel-core-ultra-9-285k-3-7-ghz-lga-1851-processor-intel-graphics-24-cores-24-threads-40-mb-cache-5-7-ghz-max-turbo-frequency-dual-channel-ddr5-memory-192gb-max-memory-size-bx80768285k/
2025-05-18,"Intel Core i7-14700K 3.4 GHz 20-Core LGA 1700 14th Gen Processor, 20 Cores & 28 Threads, 30MB Cache Memory, 5.6GHz MaxTurbo Boost, Intel UHD Graphics 770, 2CH DDR5 / 192GB Max | BX8071514700KSRN3X",1417.50,10% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700k-3-4-ghz-20-core-lga-1700-14th-gen-processor-20-cores-28-threads-30mb-cache-memory-5-6ghz-maxturbo-boost-intel-uhd-graphics-770-2ch-ddr5-192gb-max-bx8071514700ksrn3x/
2025-05-18,"Intel Core i9 14900K 3.2GHz 24-Core LGA 1700 14th Gen Processor, 32 Threads, 36MB Cache Memory, 6GHz Max Turbo Frequency, Intel UHD Graphics 770, 2CH DDR5-5600 / 192GB Max | CM8071505094017",1837.50,16% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900k-3-2ghz-24-core-lga-1700-14th-gen-processor-32-threads-36mb-cache-memory-6ghz-max-turbo-frequency-intel-uhd-graphics-770-2ch-ddr5-5600-192gb-max-cm8071505094017/
2025-05-18,"Intel Core i9 14900KF 3.2GHz 24-Core LGA 1700 14th Gen Processor, 24 Cores & 32 Threads, 36MB Cache Memory, 6GHz MaxTurbo Frequency, Dual-CH DDR5-5600 Memory / 192GB Max | i9-14900KF Tray",1680.00,21% OFF,In Stock,10,https://uae.microless.com/product/intel-core-i9-14900kf-3-2ghz-24-core-lga-1700-14th-gen-processor-24-cores-32-threads-36mb-cache-memory-6ghz-maxturbo-frequency-dual-ch-ddr5-5600-memory-192gb-max-i9-14900kf-tray/
2025-05-18,"Intel Core i7-14700KF 3.4 GHz 20-Core LGA 1700 14th Gen Processor, 20 Cores & 28 Threads, 30MB Cache Memory, 5.6GHz MaxTurbo Boost, Dual-Channel DDR5-5600 / 192GB Max Memory | BX8071514700KFSRN3Y",1378.00,,In Stock,10,https://uae.microless.com/product/intel-core-i7-14700kf-3-4-ghz-20-core-lga-1700-14th-gen-processor-20-cores-28-threads-30mb-cache-memory-5-6ghz-maxturbo-boost-dual-channel-ddr5-5600-192gb-max-memory-bx8071514700kfsrn3y/
2025-05-18,"AMD Ryzen 7 8700F AM5 CPU Processor, 8 Cores & 16 Threads, 5 GHz Max Boost Clock, 8MB L2 & 16MB L3 Cache, Zen 4 Architecture, DDR5-5200 Memory, Includes Wraith Stealth Cooler | 100-100001590BOX",945.00,12% OFF,,,https://uae.microless.com/product/amd-ryzen-7-8700f-am5-cpu-processor-8-cores-16-threads-5-ghz-max-boost-clock-8mb-l2-16mb-l3-cache-zen-4-architecture-ddr5-5200-memory-includes-wraith-stealth-cooler-100-100001590box/
2025-05-18,"AMD Ryzen 7 9700X AM5 CPU Processor, 8 Cores & 16 Threads, 5.5 GHz Max Boost Clock, 8MB L2 & 32MB L3 Cache, AMD Radeon Graphics, DDR5-5600 ECC, Zen 5 Architecture, PCIe 5.0 x16 | 100-100001404WOF",1317.75,16% OFF,In Stock,10,https://uae.microless.com/product/amd-ryzen-7-9700x-am5-cpu-processor-8-cores-16-threads-5-5-ghz-max-boost-clock-8mb-l2-32mb-l3-cache-amd-radeon-graphics-ddr5-5600-ecc-zen-5-architecture-pcie-5-0-x16-100-100001404wof/
2025-05-18,"AMD Ryzen 7 7700X 4.5 GHz AM5 105W Desktop Processor, 8 Cores & 16 Threads, 5.4 GHz Max Boost Clock, 32MB L3 Cache, AMD Radeon Graphics, 2CH-DDR5-5200 / 128GB Max, Zen 4 Arc | 100-100000591WOF",1130.00,21% OFF,In Stock,2,https://uae.microless.com/product/amd-ryzen-7-7700x-4-5-ghz-am5-105w-desktop-processor-8-cores-16-threads-5-4-ghz-max-boost-clock-32mb-l3-cache-amd-radeon-graphics-2ch-ddr5-5200-128gb-max-zen-4-arc-100-100000591wof/
