title,url,price,base_price,date,vendor
"ASUS A21 Plus M-ATX Computer Case, 4x 120mm aRGB Pre-Installed Fan, Up to 360mm Radiator & 7x Fan Support, BTF Support, Headphone, Microphone & 2x USB 3.2 Gen1 Interface, Black | 90DC00H0-B19000",https://uae.microless.com/product/asus-a21-plus-m-atx-computer-case-4x-120mm-argb-pre-installed-fan-up-to-360mm-radiator-7x-fan-support-btf-support-headphone-microphone-2x-usb-3-2-gen1-interface-black-90dc00h0-b19000/,317.90,317.90,2025-05-24,Microless
"Lian-Li A3-mATX Micro Computer Case, Up to 360mm Radiator & 10x Fan Support, Side & Top Steel Mesh Panels, 26.3L Minimalistic Sleek Design, Black (Wood Edition) | A3-mATX-WD",https://uae.microless.com/product/lian-li-a3-matx-micro-computer-case-up-to-360mm-radiator-10x-fan-support-side-top-steel-mesh-panels-26-3l-minimalistic-sleek-design-black-wood-edition-a3-matx-wd/,395.00,395.00,2025-05-24,Microless
"NZXT H5 Flow RGB 2024 Edition Compact ATX Mid-Tower Airflow Case, 1x F360 RGB Core & 1x F120Q Pre-Installed Fan, SGCC Steel, Dark Tinted Tempered Glass Materials, Black | CC-H52FB-R1",https://uae.microless.com/product/nzxt-h5-flow-rgb-2024-edition-compact-atx-mid-tower-airflow-case-1x-f360-rgb-core-1x-f120q-pre-installed-fan-sgcc-steel-dark-tinted-tempered-glass-materials-black-cc-h52fb-r1/,490.00,490.00,2025-05-24,Microless
"Gigabyte C301 Glass V2 Mid Tower Case, 4x Pre-Installed ARGB Fans, Up to 360mm Radiator Support, RGB Lighting, Dust Filter, Full-Size Tempered Glass Side Panel, Black | C301G-V2-ATX",https://uae.microless.com/product/gigabyte-c301-glass-v2-mid-tower-case-4x-pre-installed-argb-fans-up-to-360mm-radiator-support-rgb-lighting-dust-filter-full-size-tempered-glass-side-panel-black-c301g-v2-atx/,315.00,315.00,2025-05-24,Microless
"NZXT H5 Flow RGB 2024 Edition Compact ATX Mid-Tower Airflow Case, 1x F360 RGB Core & 1x F120Q Pre-Installed Fan, SGCC Steel, Dark Tinted Tempered Glass Materials, White | CC-H52FW-R1",https://uae.microless.com/product/2Xaptz5lYp/,495.00,495.00,2025-05-24,Microless
"GIGABYTE C500 ATX Computer Case, 410MM/BL ST ATX GPU, Mid Tower Form Factor, RGB Lighting, 3.5"" Drive Support, Pre-installed Fan, Built-In Cable Management, Ice | C500PI-ST-ATX",https://uae.microless.com/product/gigabyte-c500-atx-computer-case-410mm-bl-st-atx-gpu-mid-tower-form-factor-rgb-lighting-3-5-drive-support-pre-installed-fan-built-in-cable-management-ice-c500pi-st-atx/,399.00,399.00,2025-05-24,Microless
"DeepCool CH360 Digital High Airflow mATX Case, 3x Pre-Installed aRGB Fan, Up to 360mm Radiator & 8x Fan Support, Digital Display, ABS + SPCC + Tempered Glass Materials, Black | R-CH360-BKAPE3D-G-1",https://uae.microless.com/product/deepcool-ch360-digital-high-airflow-matx-case-3x-pre-installed-argb-fan-up-to-360mm-radiator-8x-fan-support-digital-display-abs-spcc-tempered-glass-materials-black-r-ch360-bkape3d-g-1/,349.00,349.00,2025-05-24,Microless
"GIGABYTE C500 ATX Computer Case, 410MM/BL ST ATX GPU, Mid Tower Form Factor, RGB Lighting, 3.5"" Drive Support, Pre-installed Fan, Built-In Cable Management, Black | C500P-ST-ATX",https://uae.microless.com/product/gigabyte-c500-atx-computer-case-410mm-bl-st-atx-gpu-mid-tower-form-factor-rgb-lighting-3-5-drive-support-pre-installed-fan-built-in-cable-management-black-c500p-st-atx/,368.50,368.50,2025-05-24,Microless
"Lian Li O11D EVO RGB E-ATX Gaming Dual Chamber Case, ARGB Lighting Strips,Up to 420mm Radiator & 10* Fans, Cable Management, Front and Side Tempered Gass Panels, Black | G99.O11DERGBX.00",https://uae.microless.com/product/lian-li-o11d-evo-rgb-e-atx-gaming-dual-chamber-case-argb-lighting-strips-up-to-420mm-radiator-10-fans-cable-management-front-and-side-tempered-gass-panels-black-g99-o11dergbx-00/,630.00,630.00,2025-05-24,Microless
"MSI MAG FORGE M100R Micro ATX Tower Gaming PC Case, Tempered Glass Panel, 4 x 120mm ARGB Fans, Up to 240mm Radiator Support, USB 3.2 Gen 1 Type-A, Magnetic Dust Filter, Black | 306-7G20R21-809",https://uae.microless.com/product/msi-mag-forge-m100r-micro-atx-tower-gaming-pc-case-tempered-glass-panel-4-x-120mm-argb-fans-usb-3-2-gen-1-type-a-magnetic-dust-filter/,209.00,209.00,2025-05-24,Microless
"Lian Li O11 Vision Compact Tower Computer Case, Up to 360mm Radiator & 9x 120mm Fan Support, 1x 4mm & 1x 3mm Tempered Glass Panels, Steel & Aluminum Materials, White | G99.O11VPW.00",https://uae.microless.com/product/lian-li-o11-vision-compact-tower-computer-case-up-to-360mm-radiator-9x-120mm-fan-support-1x-4mm-1x-3mm-tempered-glass-panels-steel-aluminum-materials-white-g99-o11vpw-00/,577.50,577.50,2025-05-24,Microless
"DeepCool CH160 WH Mini-ITX Computer Case, ABS+SPCC+Tempered Glass Materials, 3 Expansion Slots, x2USB3.0/Audio/1xGen2 Type-C Port, White | R-CH160-WHNGI0-G-1",https://uae.microless.com/product/deepcool-ch160-wh-mini-itx-computer-case-abs-spcc-tempered-glass-materials-3-expansion-slots-x2usb3-0-audio-1xgen2-type-c-port-white-r-ch160-whngi0-g-1/,245.00,245.00,2025-05-24,Microless
"MSI MPG Velox 100R Mid-Tower Gaming PC Case, Tempered Glass Side Panel, 4 x 120mm ARGB Fans, Liquid Cooling Support up to 360mm Radiator, Mesh Panel for Optimized Airflow, Black | 306-7G18R21-809",https://uae.microless.com/product/msi-mpg-velox-100r-mid-tower-gaming-pc-case-tempered-glass-side-panel-4-x-120mm-argb-fans-liquid-cooling-support-up-to-360mm-radiator-mesh-panel-for-optimized-airflow-black-306-7g18r21-809/,454.23,454.23,2025-05-24,Microless
"MSI MAG FORGE 110R Mid-Tower Computer Case, 1x 120mm ARGB Pre-Installed Fan, Up to 240mm Radiator & 6x Fan Support, Tool-Less Side Panel, Magnetic Dust Filter, Black | 306-7G16R21-809",https://uae.microless.com/product/msi-mag-forge-110r-mid-tower-computer-case-1x-120mm-argb-pre-installed-fan-up-to-240mm-radiator-6x-fan-support-tool-less-side-panel-magnetic-dust-filter-black-306-7g16r21-809/,169.00,169.00,2025-05-24,Microless
"Thermaltake View 380 TG ARGB Mid Tower Computer Case, 4x 120mm ARGB Lite Pre-Installed Lite Fans, Up to 360mm Radiator & 10x Fan Support, USB-C x1, USB 3.0 x2, HD Audio x1, Black | CA-1Z2-00M1WN-00",https://uae.microless.com/product/thermaltake-view-380-tg-argb-mid-tower-computer-case-4x-120mm-argb-lite-pre-installed-lite-fans-up-to-360mm-radiator-10x-fan-support-usb-c-x1-usb-3-0-x2-hd-audio-x1-black-ca-1z2-00m1wn-00/,370.00,370.00,2025-05-24,Microless
"Fractal Design North ATX Mid Tower Gaming PC Case, Open Front with Real Oak Panels & Mesh Side Panel, Up to 360mm Radiator & 8x120mm Fans, USB Type-C/ 3.0, Chalk White | FD-C-NOR1C-03",https://uae.microless.com/product/fractal-design-north-atx-mid-tower-gaming-pc-case-open-front-with-real-oak-panels-mesh-side-panel-up-to-360mm-radiator-8x120mm-fans-usb-type-c-3-0-chalk-white-tg-clear-fd-c-nor1c-04/,703.50,703.50,2025-05-24,Microless
"NZXT H5 Flow 2024 Edition Compact Mid-Tower ATX Airflow Case, Pre-Installed 2x F120Q, SGCC Steel, Dark Tinted Tempered Glass Materials, Easy Cable Management, Black | CC-H52FB-01",https://uae.microless.com/product/nzxt-h5-flow-2024-edition-compact-mid-tower-atx-airflow-case-pre-installed-2x-f120q-sgcc-steel-dark-tinted-tempered-glass-materials-easy-cable-management-black-cc-h52fb-01/,390.00,390.00,2025-05-24,Microless
Fractal Design Define 7 XL Black Brushed Aluminum/Steel E-ATX Silent Modular Tempered Glass Window Full Tower Computer Case | FD-C-DEF7X-03,https://uae.microless.com/product/fractal-design-define-7-xl-black-brushed-aluminum-steel-e-atx-silent-modular-tempered-glass-window-full-tower-computer-case-fd-c-def7x-03/,999.00,999.00,2025-05-24,Microless
"Lian Li Lancool 207 Mid Tower Case, 2x 140mm & 2x 120mm Pre-Installed Fan, Up to 360mm Radiator & 8x Fan Support, Steel & 4mm Tempered Glass Support, Black | G99.LAN207RX.00",https://uae.microless.com/product/lian-li-lancool-207-mid-tower-case-2x-140mm-2x-120mm-pre-installed-fan-up-to-360mm-radiator-8x-fan-support-steel-4mm-tempered-glass-support-black-g99-lan207rx-00/,329.00,329.00,2025-05-24,Microless
"ASUS ROG Hyperion GR701 E-ATX PC Case, Tempered Glass Side Panels, Up to 420mm Dual Radiator, 4*140mm Fans, Metal GPU Holder, Compnent Storage, ARGB Fan Hub, 60W Fast Charging, Black | 90DC00F0-B39000",https://uae.microless.com/product/asus-rog-hyperion-gr701-e-atx-pc-case-tempered-glass-side-panels-up-to-420mm-dual-radiator-4-140mm-fans-metal-gpu-holder-compnent-storage-argb-fan-hub-60w-fast-charging-black-90dc00f0-b39000/,1360.00,1360.00,2025-05-24,Microless
"ASUS ProArt P602 Wood Edition Mid Tower Computer Case, 2x 200mm Front & 140mm Pre-Installed Fans, Up to 420mm Radiator & 6x Fan Support, Dust Protection, Tempered Glass Panel, Black | 90DC00J0-B09010",https://uae.microless.com/product/asus-proart-p602-wood-edition-mid-tower-computer-case-2x-200mm-front-140mm-pre-installed-fans-up-to-420mm-radiator-6x-fan-support-dust-protection-tempered-glass-panel-black-90dc00j0-b09010/,955.00,955.00,2025-05-24,Microless
"ASUS TUF Gaming GT302 aRGB Mid Tower Computer Case, 4x Pre-Installed Fan 140mm aRGB Fans, Up to 360mm Radiator & 7x Fan Support, 1x 3.5mm, 2x USB-A, & 1x USB-C I/O, Black | 90DC00I0-B19000",https://uae.microless.com/product/asus-tuf-gaming-gt302-argb-mid-tower-computer-case-4x-pre-installed-fan-140mm-argb-fans-up-to-360mm-radiator-7x-fan-support-1x-3-5mm-2x-usb-a-1x-usb-c-i-o-black-90dc00i0-b19000/,535.50,535.50,2025-05-24,Microless
"Lian-Li A3-mATX Micro Computer Case, Up to 360mm Radiator & 10x Fan Support, Side & Top Steel Mesh Panels, 26.3L Minimalistic Sleek Design, White (Wood Edition) | A3-mATX-WD",https://uae.microless.com/product/lian-li-a3-matx-micro-computer-case-up-to-360mm-radiator-10x-fan-support-side-top-steel-mesh-panels-26-3l-minimalistic-sleek-design-white-wood-edition-a3-matx-wd/,375.00,375.00,2025-05-24,Microless
"HYTE Y70 Touch Infinite Dual Chamber Mid-Tower ATX Computer Case, 14.5"" 688 x 2560 (2.5K) Touch Display, Up to 10 Fans & 360mm Radiator Support, White-Black | CS-HYTE-Y70TI-WB",https://uae.microless.com/product/hyte-y70-touch-infinite-dual-chamber-mid-tower-atx-computer-case-14-5-688-x-2560-2-5k-touch-display-up-to-10-fans-360mm-radiator-support-white-black-cs-hyte-y70ti-wb/,1895.00,1895.00,2025-05-24,Microless
"HYTE Y70 Touch Infinite Dual Chamber Mid-Tower ATX PC Gaming Case, Supports Up to 360mm Radiator & 10x 120mm Fans, Nexus Touch, 1x USB-C 3.2 Gen 2, 2x USB-A 3.2 Gen 1, Snow White | CS-HYTE-Y70TI-WW",https://uae.microless.com/product/hyte-y70-touch-infinite-dual-chamber-mid-tower-atx-pc-gaming-case-supports-up-to-360mm-radiator-10x-120mm-fans-nexus-touch-1x-usb-c-3-2-gen-2-2x-usb-a-3-2-gen-1-snow-white-cs-hyte-y70ti-ww/,1860.00,1860.00,2025-05-24,Microless
